[31-Oct-2019 03:00:40 America/New_York] PHP Fatal error:  SetFontTTF: Can't find TrueType font /home/czyusa1973/public_html/mt/lib/Yagora.ttf in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1957
[31-Oct-2019 03:00:57 America/New_York] PHP Fatal error:  SetFontTTF: Can't find TrueType font /home/czyusa1973/public_html/mt/lib/Yagora.ttf in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1957
[31-Oct-2019 03:01:08 America/New_York] PHP Fatal error:  SetFontTTF: Can't find TrueType font /home/czyusa1973/public_html/mt/lib/Yagora.ttf in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1957
[31-Oct-2019 03:08:24 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/codiad/workspace/mt/dashboard_rank1.price.avgrating.reviews.2.php:329) in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1839
[31-Oct-2019 03:08:24 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/codiad/workspace/mt/dashboard_rank1.price.avgrating.reviews.2.php:329) in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1840
[31-Oct-2019 03:08:24 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/codiad/workspace/mt/dashboard_rank1.price.avgrating.reviews.2.php:329) in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1841
[31-Oct-2019 03:08:24 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/codiad/workspace/mt/dashboard_rank1.price.avgrating.reviews.2.php:329) in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1842
[31-Oct-2019 03:08:24 America/New_York] PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/codiad/workspace/mt/dashboard_rank1.price.avgrating.reviews.2.php:329) in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1858
[31-Oct-2019 03:08:24 America/New_York] PHP Fatal error:  SetFontTTF: Can't find TrueType font /home/czyusa1973/public_html/mt/lib/Yagora.ttf in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1957
[31-Oct-2019 03:22:37 America/New_York] PHP Fatal error:  SetFontTTF: Can't find TrueType font /home/czyusa1973/public_html/mt/lib/Yagora.ttf in /var/www/html/codiad/workspace/mt/lib/phplot.6.1.0.php on line 1957
