time,sku,pid,site,po,kw
2016-11-12 15:30,RCC7,B003XELTTG,amazon.com,110-9814513-6793832,reverse osmosis filter
2016-11-12 15:30,RCC7,B003XELTTG,amazon.com,110-1468511-3867428,reverse osmosis filter
2016-11-12 15:30,RCC7,B003XELTTG,amazon.com,110-1541674-5390668,reverse osmosis filter

2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-5115723-3208208,reverse osmosis filter
2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-7080214-3933063,reverse osmosis filter
2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-2638681-2621052,reverse osmosis filter
2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-8457247-5272228,reverse osmosis filter
2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-8868316-9667443,reverse osmosis filter
2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-0894225-3419414,reverse osmosis filter
2016-11-13 09:00,RCC7,B003XELTTG,amazon.com,110-9302322-2725038,reverse osmosis filter

2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-5185520-7808211,reverse osmosis
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-7802731-1230626,reverse osmosis filter
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-9737390-8289014,reverse osmosis system
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-7550498-5237023,reverse osmosis 
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-8815305-2093865,reverse osmosis filter
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-5066940-5898638,reverse osmosis filter
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-7305288-8117824,reverse osmosis
2016-11-14 15:00,RCC7,B003XELTTG,amazon.com,110-5653653-8037024,reverse osmosis system

2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-8179466-6405044,reverse osmosis
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-9247746-6690626,reverse osmosis filter
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-1222511-4307419,reverse osmosis system
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-2519839-8594632,reverse osmosis
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-8111511-6681037,reverse osmosis filter
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-9583376-5393030,reverse osmosis system
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-9602887-5689818,reverse osmosis
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-7296391-4997005,reverse osmosis filter
2016-11-15 10:40,RCC7,B003XELTTG,amazon.com,110-8008781-4993825,reverse osmosis system

2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-2536335-6399425,reverse osmosis
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-7647890-6313828,reverse osmosis filter
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-0262192-2509052,reverse osmosis system
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-6279673-6176220,reverse osmosis
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-9732658-8707447,reverse osmosis filter
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-6201547-7809857,reverse osmosis system
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-8181307-0859460,reverse osmosis
2016-11-16 10:40,RCC7,B003XELTTG,amazon.com,110-2613205-7093048,reverse osmosis filter
